kind,prd_cd,frm_cd,code,name,extra,conf
UNCOVERED_PROCESS,PRD_000016,PRF_DGP_A,PROC_000029,오시,,HIGH
UNCOVERED_PROCESS,PRD_000016,PRF_DGP_A,PROC_000030,미싱,,HIGH
UNCOVERED_PROCESS,PRD_000018,PRF_DGP_A,PROC_000029,오시,,HIGH
UNCOVERED_PROCESS,PRD_000018,PRF_DGP_A,PROC_000030,미싱,,HIGH
UNCOVERED_PROCESS,PRD_000023,PRF_DGP_B,PROC_000123,완칼커팅,,REVIEW
UNCOVERED_PROCESS,PRD_000024,PRF_PHOTOCARD_NORMAL,PROC_000014,유광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000024,PRF_PHOTOCARD_NORMAL,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000024,PRF_PHOTOCARD_NORMAL,PROC_000027,직각,,REVIEW
UNCOVERED_PROCESS,PRD_000024,PRF_PHOTOCARD_NORMAL,PROC_000028,둥근,,REVIEW
UNCOVERED_PROCESS,PRD_000025,PRF_PHOTOCARD_CLEAR,PROC_000027,직각,,REVIEW
UNCOVERED_PROCESS,PRD_000025,PRF_PHOTOCARD_CLEAR,PROC_000028,둥근,,REVIEW
UNCOVERED_PROCESS,PRD_000027,PRF_DGP_E,PROC_000037,홀로그램,,REVIEW
UNCOVERED_PROCESS,PRD_000027,PRF_DGP_E,PROC_000038,금유광,,REVIEW
UNCOVERED_PROCESS,PRD_000027,PRF_DGP_E,PROC_000039,은유광,,REVIEW
UNCOVERED_PROCESS,PRD_000027,PRF_DGP_E,PROC_000040,먹유광,,REVIEW
UNCOVERED_PROCESS,PRD_000027,PRF_DGP_E,PROC_000041,동박,,REVIEW
UNCOVERED_PROCESS,PRD_000027,PRF_DGP_E,PROC_000042,적박,,REVIEW
UNCOVERED_PROCESS,PRD_000027,PRF_DGP_E,PROC_000043,청박,,REVIEW
UNCOVERED_PROCESS,PRD_000027,PRF_DGP_E,PROC_000044,트윙클,,REVIEW
UNCOVERED_PROCESS,PRD_000028,PRF_DGP_E,PROC_000037,홀로그램,,REVIEW
UNCOVERED_PROCESS,PRD_000028,PRF_DGP_E,PROC_000038,금유광,,REVIEW
UNCOVERED_PROCESS,PRD_000028,PRF_DGP_E,PROC_000039,은유광,,REVIEW
UNCOVERED_PROCESS,PRD_000028,PRF_DGP_E,PROC_000040,먹유광,,REVIEW
UNCOVERED_PROCESS,PRD_000028,PRF_DGP_E,PROC_000041,동박,,REVIEW
UNCOVERED_PROCESS,PRD_000028,PRF_DGP_E,PROC_000042,적박,,REVIEW
UNCOVERED_PROCESS,PRD_000028,PRF_DGP_E,PROC_000043,청박,,REVIEW
UNCOVERED_PROCESS,PRD_000028,PRF_DGP_E,PROC_000044,트윙클,,REVIEW
UNCOVERED_PROCESS,PRD_000029,PRF_DGP_E,PROC_000037,홀로그램,,REVIEW
UNCOVERED_PROCESS,PRD_000029,PRF_DGP_E,PROC_000038,금유광,,REVIEW
UNCOVERED_PROCESS,PRD_000029,PRF_DGP_E,PROC_000039,은유광,,REVIEW
UNCOVERED_PROCESS,PRD_000029,PRF_DGP_E,PROC_000040,먹유광,,REVIEW
UNCOVERED_PROCESS,PRD_000029,PRF_DGP_E,PROC_000041,동박,,REVIEW
UNCOVERED_PROCESS,PRD_000029,PRF_DGP_E,PROC_000042,적박,,REVIEW
UNCOVERED_PROCESS,PRD_000029,PRF_DGP_E,PROC_000043,청박,,REVIEW
UNCOVERED_PROCESS,PRD_000029,PRF_DGP_E,PROC_000044,트윙클,,REVIEW
UNCOVERED_PROCESS,PRD_000031,PRF_NAMECARD_PREMIUM,PROC_000027,직각,,REVIEW
UNCOVERED_PROCESS,PRD_000031,PRF_NAMECARD_PREMIUM,PROC_000028,둥근,,REVIEW
UNCOVERED_PROCESS,PRD_000031,PRF_NAMECARD_PREMIUM,PROC_000031,가변텍스트,,REVIEW
UNCOVERED_PROCESS,PRD_000031,PRF_NAMECARD_PREMIUM,PROC_000032,가변이미지,,REVIEW
UNCOVERED_PROCESS,PRD_000031,PRF_NAMECARD_PREMIUM,PROC_000037,홀로그램,,REVIEW
UNCOVERED_PROCESS,PRD_000031,PRF_NAMECARD_PREMIUM,PROC_000038,금유광,,REVIEW
UNCOVERED_PROCESS,PRD_000031,PRF_NAMECARD_PREMIUM,PROC_000039,은유광,,REVIEW
UNCOVERED_PROCESS,PRD_000031,PRF_NAMECARD_PREMIUM,PROC_000040,먹유광,,REVIEW
UNCOVERED_PROCESS,PRD_000031,PRF_NAMECARD_PREMIUM,PROC_000041,동박,,REVIEW
UNCOVERED_PROCESS,PRD_000031,PRF_NAMECARD_PREMIUM,PROC_000042,적박,,REVIEW
UNCOVERED_PROCESS,PRD_000031,PRF_NAMECARD_PREMIUM,PROC_000043,청박,,REVIEW
UNCOVERED_PROCESS,PRD_000031,PRF_NAMECARD_PREMIUM,PROC_000044,트윙클,,REVIEW
UNCOVERED_PROCESS,PRD_000032,PRF_NAMECARD_COAT,PROC_000014,유광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000032,PRF_NAMECARD_COAT,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000032,PRF_NAMECARD_COAT,PROC_000027,직각,,REVIEW
UNCOVERED_PROCESS,PRD_000032,PRF_NAMECARD_COAT,PROC_000028,둥근,,REVIEW
UNCOVERED_PROCESS,PRD_000033,PRF_NAMECARD_FIXED,PROC_000027,직각,,REVIEW
UNCOVERED_PROCESS,PRD_000033,PRF_NAMECARD_FIXED,PROC_000028,둥근,,REVIEW
UNCOVERED_PROCESS,PRD_000033,PRF_NAMECARD_FIXED,PROC_000031,가변텍스트,,REVIEW
UNCOVERED_PROCESS,PRD_000033,PRF_NAMECARD_FIXED,PROC_000032,가변이미지,,REVIEW
UNCOVERED_PROCESS,PRD_000034,PRF_NAMECARD_PEARL,PROC_000027,직각,,REVIEW
UNCOVERED_PROCESS,PRD_000034,PRF_NAMECARD_PEARL,PROC_000028,둥근,,REVIEW
UNCOVERED_PROCESS,PRD_000034,PRF_NAMECARD_PEARL,PROC_000037,홀로그램,,REVIEW
UNCOVERED_PROCESS,PRD_000034,PRF_NAMECARD_PEARL,PROC_000038,금유광,,REVIEW
UNCOVERED_PROCESS,PRD_000034,PRF_NAMECARD_PEARL,PROC_000039,은유광,,REVIEW
UNCOVERED_PROCESS,PRD_000034,PRF_NAMECARD_PEARL,PROC_000040,먹유광,,REVIEW
UNCOVERED_PROCESS,PRD_000034,PRF_NAMECARD_PEARL,PROC_000041,동박,,REVIEW
UNCOVERED_PROCESS,PRD_000034,PRF_NAMECARD_PEARL,PROC_000042,적박,,REVIEW
UNCOVERED_PROCESS,PRD_000034,PRF_NAMECARD_PEARL,PROC_000043,청박,,REVIEW
UNCOVERED_PROCESS,PRD_000034,PRF_NAMECARD_PEARL,PROC_000044,트윙클,,REVIEW
UNCOVERED_PROCESS,PRD_000037,PRF_NAMECARD_FOIL,PROC_000037,홀로그램,,REVIEW
UNCOVERED_PROCESS,PRD_000037,PRF_NAMECARD_FOIL,PROC_000038,금유광,,REVIEW
UNCOVERED_PROCESS,PRD_000037,PRF_NAMECARD_FOIL,PROC_000039,은유광,,REVIEW
UNCOVERED_PROCESS,PRD_000037,PRF_NAMECARD_FOIL,PROC_000040,먹유광,,REVIEW
UNCOVERED_PROCESS,PRD_000037,PRF_NAMECARD_FOIL,PROC_000041,동박,,REVIEW
UNCOVERED_PROCESS,PRD_000037,PRF_NAMECARD_FOIL,PROC_000042,적박,,REVIEW
UNCOVERED_PROCESS,PRD_000037,PRF_NAMECARD_FOIL,PROC_000043,청박,,REVIEW
UNCOVERED_PROCESS,PRD_000037,PRF_NAMECARD_FOIL,PROC_000044,트윙클,,REVIEW
UNCOVERED_PROCESS,PRD_000039,PRF_NAMECARD_CLEAR,PROC_000027,직각,,REVIEW
UNCOVERED_PROCESS,PRD_000039,PRF_NAMECARD_CLEAR,PROC_000028,둥근,,REVIEW
UNCOVERED_PROCESS,PRD_000040,PRF_NAMECARD_WHITE,PROC_000008,화이트,,REVIEW
UNCOVERED_PROCESS,PRD_000040,PRF_NAMECARD_WHITE,PROC_000009,클리어,,REVIEW
UNCOVERED_PROCESS,PRD_000040,PRF_NAMECARD_WHITE,PROC_000027,직각,,REVIEW
UNCOVERED_PROCESS,PRD_000040,PRF_NAMECARD_WHITE,PROC_000028,둥근,,REVIEW
UNCOVERED_PROCESS,PRD_000041,PRF_DGP_A,PROC_000029,오시,,HIGH
UNCOVERED_PROCESS,PRD_000041,PRF_DGP_A,PROC_000030,미싱,,HIGH
UNCOVERED_PROCESS,PRD_000042,PRF_DGP_A,PROC_000029,오시,,HIGH
UNCOVERED_PROCESS,PRD_000042,PRF_DGP_A,PROC_000030,미싱,,HIGH
UNCOVERED_PROCESS,PRD_000042,PRF_DGP_A,PROC_000037,홀로그램,,REVIEW
UNCOVERED_PROCESS,PRD_000042,PRF_DGP_A,PROC_000038,금유광,,REVIEW
UNCOVERED_PROCESS,PRD_000042,PRF_DGP_A,PROC_000039,은유광,,REVIEW
UNCOVERED_PROCESS,PRD_000042,PRF_DGP_A,PROC_000040,먹유광,,REVIEW
UNCOVERED_PROCESS,PRD_000042,PRF_DGP_A,PROC_000041,동박,,REVIEW
UNCOVERED_PROCESS,PRD_000042,PRF_DGP_A,PROC_000042,적박,,REVIEW
UNCOVERED_PROCESS,PRD_000042,PRF_DGP_A,PROC_000043,청박,,REVIEW
UNCOVERED_PROCESS,PRD_000042,PRF_DGP_A,PROC_000044,트윙클,,REVIEW
UNCOVERED_PROCESS,PRD_000048,PRF_FOLD_SUM,PROC_000014,유광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000048,PRF_FOLD_SUM,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000048,PRF_FOLD_SUM,PROC_000031,가변텍스트,,REVIEW
UNCOVERED_PROCESS,PRD_000048,PRF_FOLD_SUM,PROC_000032,가변이미지,,REVIEW
UNCOVERED_PROCESS,PRD_000052,PRF_STK_FIXED,PROC_000054,반칼,,REVIEW
UNCOVERED_PROCESS,PRD_000053,PRF_STK_FIXED,PROC_000008,화이트,,REVIEW
UNCOVERED_PROCESS,PRD_000053,PRF_STK_FIXED,PROC_000054,반칼,,REVIEW
UNCOVERED_PROCESS,PRD_000054,PRF_STK_FIXED,PROC_000008,화이트,,REVIEW
UNCOVERED_PROCESS,PRD_000054,PRF_STK_FIXED,PROC_000054,반칼,,REVIEW
UNCOVERED_PROCESS,PRD_000055,PRF_STK_FIXED,PROC_000053,완칼,,REVIEW
UNCOVERED_PROCESS,PRD_000056,PRF_STK_FIXED,PROC_000008,화이트,,REVIEW
UNCOVERED_PROCESS,PRD_000056,PRF_STK_FIXED,PROC_000053,완칼,,REVIEW
UNCOVERED_PROCESS,PRD_000057,PRF_STK_FIXED,PROC_000053,완칼,,REVIEW
UNCOVERED_PROCESS,PRD_000058,PRF_STK_FIXED,PROC_000055,스티커완칼,,REVIEW
UNCOVERED_PROCESS,PRD_000059,PRF_STK_FIXED,PROC_000055,스티커완칼,,REVIEW
UNCOVERED_PROCESS,PRD_000060,PRF_STK_FIXED,PROC_000055,스티커완칼,,REVIEW
UNCOVERED_PROCESS,PRD_000061,PRF_STK_FIXED,PROC_000055,스티커완칼,,REVIEW
UNCOVERED_PROCESS,PRD_000062,PRF_STK_FIXED,PROC_000055,스티커완칼,,REVIEW
UNCOVERED_PROCESS,PRD_000063,PRF_STK_FIXED,PROC_000008,화이트,,REVIEW
UNCOVERED_PROCESS,PRD_000063,PRF_STK_FIXED,PROC_000055,스티커완칼,,REVIEW
UNCOVERED_PROCESS,PRD_000064,PRF_STK_FIXED,PROC_000054,반칼,,REVIEW
UNCOVERED_PROCESS,PRD_000066,PRF_GANGPAN_FIXED,PROC_000055,스티커완칼,,REVIEW
UNCOVERED_PROCESS,PRD_000071,PRF_BIND_TWINRING,PROC_000014,유광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000071,PRF_BIND_TWINRING,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000071,PRF_BIND_TWINRING,PROC_000076,수축포장,,REVIEW
UNCOVERED_PROCESS,PRD_000118,PRF_POSTER_ARTPRINT,PROC_000014,유광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000118,PRF_POSTER_ARTPRINT,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000120,PRF_POSTER_WATERPROOF,PROC_000014,유광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000120,PRF_POSTER_WATERPROOF,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000121,PRF_POSTER_ADH_WP,PROC_000014,유광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000121,PRF_POSTER_ADH_WP,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000122,PRF_POSTER_ADH_CLEAR,PROC_000008,화이트,,REVIEW
UNCOVERED_PROCESS,PRD_000124,PRF_POSTER_LINEN,PROC_000080,봉제,,REVIEW
UNCOVERED_PROCESS,PRD_000125,PRF_POSTER_CANVAS,PROC_000080,봉제,,REVIEW
UNCOVERED_PROCESS,PRD_000129,PRF_POSTER_FOAMBOARD,PROC_000014,유광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000129,PRF_POSTER_FOAMBOARD,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000130,PRF_POSTER_FOMEXBOARD,PROC_000014,유광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000130,PRF_POSTER_FOMEXBOARD,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000131,PRF_POSTER_FRAMELESS,PROC_000014,유광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000131,PRF_POSTER_FRAMELESS,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000133,PRF_POSTER_CANVAS_HANGING,PROC_000080,봉제,,REVIEW
UNCOVERED_PROCESS,PRD_000134,PRF_POSTER_LINEN_WOODBONG,PROC_000080,봉제,,REVIEW
UNCOVERED_PROCESS,PRD_000135,PRF_POSTER_JOKJA,PROC_000082,족자제작,,REVIEW
UNCOVERED_PROCESS,PRD_000136,PRF_POSTER_PET_BANNER,PROC_000014,유광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000136,PRF_POSTER_PET_BANNER,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000136,PRF_POSTER_PET_BANNER,PROC_000079,타공,,REVIEW
UNCOVERED_PROCESS,PRD_000137,PRF_POSTER_MESH_BANNER,PROC_000079,타공,,REVIEW
UNCOVERED_PROCESS,PRD_000138,PRF_POSTER_BANNER_N,PROC_000080,봉제,,REVIEW
UNCOVERED_PROCESS,PRD_000138,PRF_POSTER_BANNER_N,PROC_000081,부착,,REVIEW
UNCOVERED_PROCESS,PRD_000138,PRF_POSTER_BANNER_N,PROC_000084,열재단,,REVIEW
UNCOVERED_PROCESS,PRD_000139,PRF_POSTER_BANNER_M,PROC_000081,부착,,REVIEW
UNCOVERED_PROCESS,PRD_000139,PRF_POSTER_BANNER_M,PROC_000084,열재단,,REVIEW
UNCOVERED_PROCESS,PRD_000145,PRF_POSTER_MINI_BANNER,PROC_000014,유광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000145,PRF_POSTER_MINI_BANNER,PROC_000015,무광라미네이팅,,REVIEW
UNCOVERED_PROCESS,PRD_000146,PRF_CLR_ACRYL,PROC_000002,UV,,REVIEW
UNCOVERED_PROCESS,PRD_000147,PRF_CLR_ACRYL,PROC_000002,UV,,REVIEW
UNCOVERED_PROCESS,PRD_000147,PRF_CLR_ACRYL,PROC_000081,부착,,REVIEW
UNCOVERED_PROCESS,PRD_000148,PRF_CLR_ACRYL,PROC_000002,UV,,REVIEW
UNCOVERED_PROCESS,PRD_000149,PRF_CLR_ACRYL,PROC_000002,UV,,REVIEW
UNCOVERED_PROCESS,PRD_000150,PRF_CLR_ACRYL,PROC_000002,UV,,REVIEW
UNCOVERED_PROCESS,PRD_000152,PRF_CLR_ACRYL,PROC_000002,UV,,REVIEW
