siz_cd,siz_nm,work_width,work_height,cut_width,cut_height,margin_top,margin_bot,margin_lft,margin_rgt,impos_yn,use_yn,note,reg_dt,upd_dt,del_yn
SIZ_000001,73x98,75.00,100.00,73.00,98.00,1.00,1.00,1.00,1.00,N,Y,판걸이=18.0 / 전지=316x467 / 적용=엽서,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000002,98x98,100.00,100.00,98.00,98.00,1.00,1.00,1.00,1.00,N,Y,판걸이=12.0 / 전지=316x467 / 적용=엽서,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000003,100x150,102.00,152.00,100.00,150.00,1.00,1.00,1.00,1.00,N,Y,판걸이=8.0 / 전지=316x467 / 적용=엽서 / 엽서북내지,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000004,135x135,137.00,137.00,135.00,135.00,1.00,1.00,1.00,1.00,N,Y,판걸이=6.0 / 전지=316x467 / 적용=엽서 / 엽서북내지,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000005,95x210,97.00,212.00,95.00,210.00,1.00,1.00,1.00,1.00,N,Y,판걸이=6.0 / 전지=316x467 / 적용=엽서,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000006,110x170,112.00,172.00,110.00,170.00,1.00,1.00,1.00,1.00,N,Y,판걸이=4.0 / 전지=316x467 / 적용=엽서,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000007,A5 (148X210),150.00,212.00,148.00,210.00,1.00,1.00,1.00,1.00,N,Y,판걸이=4.0 / 전지=316x467 / 적용=엽서,2026-06-03 12:46:02.974607,2026-06-16 19:47:21.844387,N
SIZ_000008,90x50,92.00,52.00,90.00,50.00,1.00,1.00,1.00,1.00,N,Y,판걸이=24.0 / 전지=316x467 / 적용=명함,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000009,90x55,92.00,57.00,90.00,55.00,1.00,1.00,1.00,1.00,N,Y,판걸이=21.0 / 전지=316x467 / 적용=명함,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000010,86x55,88.00,57.00,86.00,55.00,1.00,1.00,1.00,1.00,N,Y,판걸이=21.0 / 전지=316x467 / 적용=명함,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000011,50x50,60.00,60.00,50.00,50.00,5.00,5.00,5.00,5.00,N,Y,"판걸이=35.0 / 전지=316x467 / 적용=미니모양명함, 라벨택",2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000012,55x86,57.00,88.00,55.00,86.00,1.00,1.00,1.00,1.00,N,Y,판걸이=21.0 / 전지=316x467 / 적용=포토카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000013,148x68,152.00,72.00,148.00,68.00,2.00,2.00,2.00,2.00,N,Y,판걸이=12.0 / 전지=316x467 / 적용=상품권,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000014,148x75,158.00,77.00,148.00,75.00,2.00,2.00,2.00,2.00,N,Y,판걸이=6.0 / 전지=316x467 / 적용=상품권,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000015,300x100,302.00,102.00,300.00,100.00,1.00,1.00,1.00,1.00,N,Y,판걸이=4.0 / 전지=316x467 / 적용=종이슬로건,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000016,400x145,402.00,147.00,400.00,145.00,1.00,1.00,1.00,1.00,N,Y,판걸이=2.0 / 전지=316x467 / 적용=종이슬로건,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000017,100x90,102.00,92.00,100.00,90.00,1.00,1.00,1.00,1.00,N,Y,판걸이=12.0 / 전지=316x467 / 적용=미니접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000018,90x100,92.00,102.00,90.00,100.00,1.00,1.00,1.00,1.00,N,Y,판걸이=12.0 / 전지=316x467 / 적용=미니접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000019,104x86,106.00,88.00,104.00,86.00,1.00,1.00,1.00,1.00,N,Y,판걸이=12.0 / 전지=316x467 / 적용=미니접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000020,86x104,88.00,106.00,86.00,104.00,1.00,1.00,1.00,1.00,N,Y,판걸이=12.0 / 전지=316x467 / 적용=미니접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000021,200x150,202.00,152.00,200.00,150.00,1.00,1.00,1.00,1.00,N,Y,판걸이=4.0 / 전지=316x467 / 적용=2단접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000022,150x200,152.00,202.00,150.00,200.00,1.00,1.00,1.00,1.00,N,Y,판걸이=4.0 / 전지=316x467 / 적용=2단접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000023,274x139,274.00,139.00,274.00,139.00,2.00,2.00,2.00,2.00,Y,Y,판걸이=3.0 / 전지=316x467 / 적용=2단접지카드,2026-06-03 12:46:02.974607,2026-06-07 00:25:09.022047,Y
SIZ_000024,139x274,139.00,274.00,139.00,274.00,2.00,2.00,2.00,2.00,Y,Y,판걸이=3.0 / 전지=316x467 / 적용=2단접지카드,2026-06-03 12:46:02.974607,2026-06-07 00:25:09.022047,Y
SIZ_000025,220x170,224.00,174.00,220.00,170.00,2.00,2.00,2.00,2.00,N,Y,판걸이=2.0 / 전지=316x467 / 적용=2단접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000026,170x220,174.00,224.00,170.00,220.00,2.00,2.00,2.00,2.00,N,Y,판걸이=2.0 / 전지=316x467 / 적용=2단접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000027,300x150,302.00,152.00,300.00,150.00,1.00,1.00,1.00,1.00,N,Y,판걸이=3.0 / 전지=316x467 / 적용=3단접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000028,150x300,152.00,302.00,150.00,300.00,1.00,1.00,1.00,1.00,N,Y,판걸이=3.0 / 전지=316x467 / 적용=3단접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000029,403x135,407.00,139.00,403.00,135.00,2.00,2.00,2.00,2.00,N,Y,판걸이=1.0 / 전지=316x467 / 적용=3단접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000030,135x403,139.00,407.00,135.00,403.00,2.00,2.00,2.00,2.00,N,Y,판걸이=1.0 / 전지=316x467 / 적용=3단접지카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000031,600x150,604.00,154.00,600.00,150.00,2.00,2.00,2.00,2.00,N,Y,판걸이=2.0 / 전지=미지정 / 적용=지그재그카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000032,150x600,154.00,604.00,150.00,600.00,2.00,2.00,2.00,2.00,N,Y,판걸이=2.0 / 전지=미지정 / 적용=지그재그카드,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000033,76x100,80.00,104.00,76.00,100.00,2.00,2.00,2.00,2.00,N,Y,판걸이=12.0 / 전지=316x467 / 적용=인쇄배경지,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000034,76x120,80.00,124.00,76.00,120.00,2.00,2.00,2.00,2.00,N,Y,판걸이=9.0 / 전지=316x467 / 적용=인쇄배경지,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000035,86x120,90.00,124.00,86.00,120.00,2.00,2.00,2.00,2.00,N,Y,판걸이=9.0 / 전지=316x467 / 적용=인쇄배경지,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000036,94x94,98.00,98.00,94.00,94.00,2.00,2.00,2.00,2.00,N,Y,판걸이=12.0 / 전지=316x467 / 적용=인쇄배경지,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000037,62x180,66.00,184.00,62.00,180.00,2.00,2.00,2.00,2.00,N,Y,판걸이=8.0 / 전지=316x467 / 적용=인쇄배경지,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000038,105x160,109.00,164.00,105.00,160.00,2.00,2.00,2.00,2.00,N,Y,판걸이=4.0 / 전지=316x467 / 적용=인쇄배경지,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000039,74x74,78.00,78.00,74.00,74.00,2.00,2.00,2.00,2.00,N,Y,판걸이=24.0 / 전지=316x467 / 적용=인쇄배경지,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000040,74x148,78.00,152.00,74.00,148.00,2.00,2.00,2.00,2.00,N,Y,판걸이=12.0 / 전지=316x467 / 적용=인쇄배경지,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000041,74x109,78.00,113.00,74.00,109.00,2.00,2.00,2.00,2.00,N,Y,판걸이=16.0 / 전지=316x467 / 적용=인쇄배경지,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000042,74x218,78.00,222.00,74.00,218.00,2.00,2.00,2.00,2.00,N,Y,판걸이=8.0 / 전지=316x467 / 적용=인쇄배경지,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000043,80x80,84.00,84.00,80.00,80.00,2.00,2.00,2.00,2.00,N,Y,판걸이=15.0 / 전지=316x467 / 적용=인쇄해더택,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000044,110x80,114.00,84.00,110.00,80.00,2.00,2.00,2.00,2.00,N,Y,판걸이=12.0 / 전지=316x467 / 적용=인쇄해더택,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000045,140x80,144.00,84.00,140.00,80.00,2.00,2.00,2.00,2.00,N,Y,판걸이=10.0 / 전지=316x467 / 적용=인쇄해더택,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000046,160x80,164.00,84.00,160.00,80.00,2.00,2.00,2.00,2.00,N,Y,판걸이=6.0 / 전지=316x467 / 적용=인쇄해더택,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000047,40x80,50.00,90.00,40.00,80.00,5.00,5.00,5.00,5.00,N,Y,판걸이=24.0 / 전지=316x467 / 적용=라벨택,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000048,25x110,35.00,120.00,25.00,110.00,5.00,5.00,5.00,5.00,N,Y,판걸이=24.0 / 전지=316x467 / 적용=라벨택,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000049,210x148,214.00,152.00,210.00,148.00,2.00,2.00,2.00,2.00,N,Y,판걸이=4.0 / 전지=316x467 / 적용=책자내지,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000050,A4 (210X297),216.00,303.00,210.00,297.00,3.00,3.00,3.00,3.00,N,Y,판걸이=2.0 / 전지=316x467 / 적용=전단지 / 책자내지,2026-06-03 12:46:02.974607,2026-06-16 19:47:21.844387,N
SIZ_000051,297x210,303.00,216.00,297.00,210.00,3.00,3.00,3.00,3.00,N,Y,판걸이=2.0 / 전지=316x467 / 적용=책자내지,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000052,A3 (297X420),303.00,426.00,297.00,420.00,3.00,3.00,3.00,3.00,Y,Y,판걸이=1.0 / 전지=316x467 / 적용=전단지,2026-06-03 12:46:02.974607,2026-06-16 19:47:21.844387,N
SIZ_000053,300x440,306.00,446.00,300.00,440.00,3.00,3.00,3.00,3.00,N,Y,판걸이=1.0 / 전지=316x467 / 적용=전단지,2026-06-03 12:46:02.974607,2026-06-17 07:47:50.713627,Y
SIZ_000054,420x297,426.00,303.00,420.00,297.00,3.00,3.00,3.00,3.00,N,Y,판걸이=1.0 / 전지=316x467 / 적용=접지리플렛,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000055,640x297,646.00,303.00,640.00,297.00,3.00,3.00,3.00,3.00,N,Y,판걸이=1.0 / 전지=미지정 / 적용=와이드 접지리플렛,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000056,320x404,320.00,404.00,320.00,404.00,0.00,0.00,0.00,0.00,N,Y,판걸이=1.0 / 전지=미지정 / 적용=썬캡,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000057,A6 (105X148),105.00,148.00,105.00,148.00,0.00,0.00,0.00,0.00,N,Y,판걸이=8.0 / 전지=미지정 / 적용=반칼스티커,2026-06-03 12:46:02.974607,2026-06-16 19:47:21.844387,N
SIZ_000058,100x140,104.00,144.00,100.00,140.00,2.00,2.00,2.00,2.00,N,Y,판걸이=8.0 / 전지=미지정 / 적용=반칼스티커,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000059,124x186,128.00,190.00,124.00,186.00,2.00,2.00,2.00,2.00,N,Y,판걸이=4.0 / 전지=미지정 / 적용=반칼스티커,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000060,90x190,94.00,194.00,90.00,190.00,2.00,2.00,2.00,2.00,N,Y,판걸이=6.0 / 전지=미지정 / 적용=반칼스티커,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000061,50x70,50.00,70.00,50.00,70.00,0.00,0.00,0.00,0.00,N,Y,판걸이=32.0 / 전지=미지정 / 적용=소형반칼스티커,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000062,70x50,70.00,50.00,70.00,50.00,0.00,0.00,0.00,0.00,N,Y,판걸이=32.0 / 전지=미지정 / 적용=소형반칼스티커,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000063,50x94,50.00,94.00,50.00,94.00,0.00,0.00,0.00,0.00,N,Y,판걸이=24.0 / 전지=미지정 / 적용=소형반칼스티커,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000064,94x50,94.00,50.00,94.00,50.00,0.00,0.00,0.00,0.00,N,Y,판걸이=24.0 / 전지=미지정 / 적용=소형반칼스티커,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000065,65x65,65.00,65.00,65.00,65.00,0.00,0.00,0.00,0.00,N,Y,판걸이=24.0 / 전지=미지정 / 적용=소형반칼스티커,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000066,75x94,75.00,94.00,75.00,94.00,0.00,0.00,0.00,0.00,N,Y,판걸이=15.0 / 전지=미지정 / 적용=소형반칼스티커,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000067,140x100,140.00,100.00,140.00,100.00,0.00,0.00,0.00,0.00,N,Y,판걸이=8.0 / 전지=미지정 / 적용=소형반칼스티커,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000068,75x110,75.00,110.00,75.00,110.00,0.00,0.00,0.00,0.00,N,Y,판걸이=16.0 / 전지=미지정 / 적용=스티커팩,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000069,220x145,224.00,149.00,220.00,145.00,2.00,2.00,2.00,2.00,N,Y,판걸이=4.0 / 전지=316x467 / 적용=탁상형캘린더,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000070,130x220,134.00,224.00,130.00,220.00,2.00,2.00,2.00,2.00,N,Y,판걸이=4.0 / 전지=316x467 / 적용=탁상형캘린더,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000071,148x60,152.00,64.00,148.00,60.00,2.00,2.00,2.00,2.00,N,Y,판걸이=12.0 / 전지=316x467 / 적용=미니탁상형캘린더,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000072,145x145,149.00,149.00,145.00,145.00,2.00,2.00,2.00,2.00,N,Y,판걸이=6.0 / 전지=316x467 / 적용=엽서캘린더,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000073,220x130,224.00,134.00,220.00,130.00,2.00,2.00,2.00,2.00,N,Y,판걸이=4.0 / 전지=316x467 / 적용=엽서캘린더,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000074,145x300,149.00,304.00,145.00,300.00,2.00,2.00,2.00,2.00,N,Y,판걸이=3.0 / 전지=316x467 / 적용=엽서캘린더,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000075,210x420,214.00,424.00,210.00,420.00,2.00,2.00,2.00,2.00,N,Y,판걸이=1.0 / 전지=316x467 / 적용=벽걸이캘린더,2026-06-03 12:46:02.974607,2026-06-17 07:40:52.791944,N
SIZ_000076,300x420,304.00,424.00,300.00,420.00,2.00,2.00,2.00,2.00,Y,Y,판걸이=1.0 / 전지=316x467 / 적용=벽걸이캘린더,2026-06-03 12:46:02.974607,,N
SIZ_000077,300x625,304.00,629.00,300.00,625.00,2.00,2.00,2.00,2.00,Y,Y,판걸이=1.0 / 전지=미지정 / 적용=와이드벽걸이캘린더,2026-06-03 12:46:02.974607,,N
SIZ_000078,70x200mm(50장),70.00,200.00,70.00,200.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000079,80x100mm(50장),80.00,100.00,80.00,100.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000080,80x120mm(50장),80.00,120.00,80.00,120.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000081,80x180mm(50장),80.00,180.00,80.00,180.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000082,90x120mm(50장),90.00,120.00,90.00,120.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000083,100x100mm(50장),100.00,100.00,100.00,100.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000084,100x200mm(50장),100.00,200.00,100.00,200.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000085,110x160mm(50장),110.00,160.00,110.00,160.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000086,130x200mm(50장),130.00,200.00,130.00,200.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000087,160x230mm(50장),160.00,230.00,160.00,230.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000088,230x350mm(50장),230.00,350.00,230.00,350.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000089,60x90mm(20장),60.00,90.00,60.00,90.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000090,60x90mm(50장),60.00,90.00,60.00,90.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000091,110x250mm(50장),110.00,250.00,110.00,250.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000092,140x180mm(50장),140.00,180.00,140.00,180.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000093,140x200mm(50장),140.00,200.00,140.00,200.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000094,150x150mm(50장),150.00,150.00,150.00,150.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000095,160x250mm(50장),160.00,250.00,160.00,250.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000096,160x110mm(20장),160.00,110.00,160.00,110.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000097,160x110mm(40장),160.00,110.00,160.00,110.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000098,160x110mm(100장),160.00,110.00,160.00,110.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000099,100x100mm(20장),100.00,100.00,100.00,100.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000100,100x100mm(40장),100.00,100.00,100.00,100.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000101,100x100mm(100장),100.00,100.00,100.00,100.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000102,70x100mm(30장),70.00,100.00,70.00,100.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000103,70x100mm(100장),70.00,100.00,70.00,100.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000104,165x115mm(10장),165.00,115.00,165.00,115.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-18 02:10:28.132098,N
SIZ_000105,165x115mm(10장),165.00,115.00,165.00,115.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-18 02:10:28.132098,N
SIZ_000106,240x230mm(10장),240.00,230.00,240.00,230.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000107,150x310mm(10장),150.00,310.00,150.00,310.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000108,PP투명케이스42x57x20mm(10개),42.00,57.00,42.00,57.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000109,PP투명케이스75x75x15mm(10개),75.00,75.00,75.00,75.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000110,PP투명케이스75x110x15mm(10개),75.00,110.00,75.00,110.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000111,20x20(20개입),20.00,20.00,20.00,20.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
SIZ_000112,75x100,75.00,100.00,,,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-07 00:25:09.022047,Y
SIZ_000113,100x100,100.00,100.00,100.00,100.00,,,,,N,Y,,2026-06-03 12:46:02.974607,,N
SIZ_000114,102x152,102.00,152.00,,,,,,,N,Y,,2026-06-03 12:46:02.974607,,N
SIZ_000115,137x137,137.00,137.00,,,,,,,N,Y,,2026-06-03 12:46:02.974607,,N
SIZ_000116,97x212,97.00,212.00,,,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-07 00:25:09.022047,Y
SIZ_000117,112x172,112.00,172.00,,,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-07 00:25:09.022047,Y
SIZ_000118,150x212,150.00,212.00,,,,,,,N,Y,,2026-06-03 12:46:02.974607,,N
SIZ_000119,90x90,,,90.00,90.00,,,,,N,Y,,2026-06-03 12:46:02.974607,,N
SIZ_000120,57x88,57.00,88.00,,,,,,,N,Y,,2026-06-03 12:46:02.974607,,N
SIZ_000121,302x102,302.00,102.00,,,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-07 00:25:09.022047,Y
SIZ_000122,402x147,402.00,147.00,,,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-07 00:25:09.022047,Y
SIZ_000123,202x152,202.00,152.00,,,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-07 00:25:09.022047,Y
SIZ_000124,150x100,,,150.00,100.00,,,,,N,Y,,2026-06-03 12:46:02.974607,,N
SIZ_000125,152x202,152.00,202.00,,,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-07 00:25:09.022047,Y
SIZ_000126,270x135,,,270.00,135.00,,,,,N,Y,,2026-06-03 12:46:02.974607,,N
SIZ_000127,135x270,,,135.00,270.00,,,,,N,Y,,2026-06-03 12:46:02.974607,,N
SIZ_000128,224x174,224.00,174.00,,,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-07 00:25:09.022047,Y
SIZ_000129,170x110,170.00,110.00,170.00,110.00,,,,,N,Y,,2026-06-03 12:46:02.974607,2026-06-04 08:42:54.234316,N
