table,column,ordinal,type,max_len,numeric_precision,numeric_scale,nullable,default,pk,fk_table,fk_column
t_cat_categories,cat_cd,1,character varying,50,,,NO,,Y,,
t_cat_categories,cat_nm,2,character varying,100,,,NO,,,,
t_cat_categories,upr_cat_cd,3,character varying,50,,,YES,,,t_cat_categories,cat_cd
t_cat_categories,cat_lvl,4,integer,,32,0,NO,,,,
t_cat_categories,disp_seq,5,integer,,32,0,YES,,,,
t_cat_categories,use_yn,6,character,1,,,NO,,,,
t_cat_categories,reg_dt,7,timestamp without time zone,,,,NO,now(),,,
t_cat_categories,upd_dt,8,timestamp without time zone,,,,YES,,,,
t_clr_color_counts,clr_cd,1,character varying,50,,,NO,,Y,,
t_clr_color_counts,clr_nm,2,character varying,100,,,NO,,,,
t_clr_color_counts,chnl_cnt,3,integer,,32,0,NO,,,,
t_clr_color_counts,use_yn,4,character,1,,,NO,,,,
t_clr_color_counts,note,5,character varying,500,,,YES,,,,
t_clr_color_counts,reg_dt,6,timestamp without time zone,,,,NO,now(),,,
t_clr_color_counts,upd_dt,7,timestamp without time zone,,,,YES,,,,
t_clr_color_counts,del_yn,8,character,1,,,NO,'N'::bpchar,,,
t_clr_color_counts,del_dt,9,timestamp without time zone,,,,YES,,,,
t_cod_base_codes,cod_cd,1,character varying,50,,,NO,,Y,,
t_cod_base_codes,cod_nm,2,character varying,100,,,NO,,,,
t_cod_base_codes,upr_cod_cd,3,character varying,50,,,YES,,,t_cod_base_codes,cod_cd
t_cod_base_codes,disp_seq,4,integer,,32,0,YES,,,,
t_cod_base_codes,use_yn,5,character,1,,,NO,,,,
t_cod_base_codes,note,6,character varying,500,,,YES,,,,
t_cod_base_codes,reg_dt,7,timestamp without time zone,,,,NO,now(),,,
t_cod_base_codes,upd_dt,8,timestamp without time zone,,,,YES,,,,
t_cus_customers,cus_cd,1,character varying,50,,,NO,,Y,,
t_cus_customers,cus_nm,2,character varying,100,,,NO,,,,
t_cus_customers,grade_cd,3,character varying,50,,,YES,,,t_cod_base_codes,cod_cd
t_cus_customers,reg_ymd,4,character varying,10,,,YES,,,,
t_cus_customers,use_yn,5,character,1,,,NO,,,,
t_cus_customers,reg_dt,6,timestamp without time zone,,,,NO,now(),,,
t_cus_customers,upd_dt,7,timestamp without time zone,,,,YES,,,,
t_dsc_discount_details,dsc_tbl_cd,1,character varying,50,,,NO,,Y,t_dsc_discount_tables,dsc_tbl_cd
t_dsc_discount_details,apply_ymd,2,character varying,10,,,NO,,Y,,
t_dsc_discount_details,min_qty,3,integer,,32,0,NO,,Y,,
t_dsc_discount_details,max_qty,4,integer,,32,0,YES,,,,
t_dsc_discount_details,dsc_typ_cd,5,character varying,50,,,YES,,,t_cod_base_codes,cod_cd
t_dsc_discount_details,dsc_rate,6,numeric,,5,2,YES,,,,
t_dsc_discount_details,dsc_amt,7,numeric,,12,2,YES,,,,
t_dsc_discount_details,note,8,character varying,500,,,YES,,,,
t_dsc_discount_details,reg_dt,9,timestamp without time zone,,,,NO,now(),,,
t_dsc_discount_details,upd_dt,10,timestamp without time zone,,,,YES,,,,
t_dsc_discount_tables,dsc_tbl_cd,1,character varying,50,,,NO,,Y,,
t_dsc_discount_tables,dsc_tbl_nm,2,character varying,100,,,NO,,,,
t_dsc_discount_tables,note,3,character varying,500,,,YES,,,,
t_dsc_discount_tables,use_yn,4,character,1,,,NO,,,,
t_dsc_discount_tables,reg_dt,5,timestamp without time zone,,,,NO,now(),,,
t_dsc_discount_tables,upd_dt,6,timestamp without time zone,,,,YES,,,,
t_dsc_grade_discount_rates,grade_cd,1,character varying,50,,,NO,,Y,t_cod_base_codes,cod_cd
t_dsc_grade_discount_rates,cat_cd,2,character varying,50,,,NO,,Y,t_cat_categories,cat_cd
t_dsc_grade_discount_rates,apply_ymd,3,character varying,10,,,NO,,Y,,
t_dsc_grade_discount_rates,dsc_typ_cd,4,character varying,50,,,YES,,,t_cod_base_codes,cod_cd
t_dsc_grade_discount_rates,dsc_rate,5,numeric,,5,2,YES,,,,
t_dsc_grade_discount_rates,dsc_amt,6,numeric,,12,2,YES,,,,
t_dsc_grade_discount_rates,note,7,character varying,500,,,YES,,,,
t_dsc_grade_discount_rates,reg_dt,8,timestamp without time zone,,,,NO,now(),,,
t_dsc_grade_discount_rates,upd_dt,9,timestamp without time zone,,,,YES,,,,
t_mat_materials,mat_cd,1,character varying,50,,,NO,,Y,,
t_mat_materials,mat_nm,2,character varying,200,,,NO,,,,
t_mat_materials,mat_typ_cd,3,character varying,50,,,NO,,,t_cod_base_codes,cod_cd
t_mat_materials,upr_mat_cd,4,character varying,50,,,YES,,,t_mat_materials,mat_cd
t_mat_materials,sel_typ_cd,5,character varying,50,,,YES,,,t_cod_base_codes,cod_cd
t_mat_materials,max_sel_cnt,6,integer,,32,0,YES,,,,
t_mat_materials,width,7,numeric,,8,2,YES,,,,
t_mat_materials,height,8,numeric,,8,2,YES,,,,
t_mat_materials,depth,9,numeric,,8,2,YES,,,,
t_mat_materials,weight,10,numeric,,8,2,YES,,,,
t_mat_materials,bdl_qty,11,integer,,32,0,YES,,,,
t_mat_materials,use_yn,12,character,1,,,NO,,,,
t_mat_materials,note,13,character varying,500,,,YES,,,,
t_mat_materials,reg_dt,14,timestamp without time zone,,,,NO,now(),,,
t_mat_materials,upd_dt,15,timestamp without time zone,,,,YES,,,,
t_mat_materials,del_yn,16,character,1,,,NO,'N'::bpchar,,,
t_mat_materials,del_dt,17,timestamp without time zone,,,,YES,,,,
t_prc_component_prices,comp_price_id,1,bigint,,64,0,NO,,Y,,
t_prc_component_prices,comp_cd,2,character varying,50,,,NO,,,t_prc_price_components,comp_cd
t_prc_component_prices,apply_ymd,3,character varying,10,,,NO,,,,
t_prc_component_prices,siz_cd,4,character varying,50,,,YES,,,t_siz_sizes,siz_cd
t_prc_component_prices,clr_cd,5,character varying,50,,,YES,,,t_clr_color_counts,clr_cd
t_prc_component_prices,mat_cd,6,character varying,50,,,YES,,,t_mat_materials,mat_cd
t_prc_component_prices,coat_side_cnt,7,integer,,32,0,YES,,,,
t_prc_component_prices,bdl_qty,8,integer,,32,0,YES,,,,
t_prc_component_prices,min_qty,9,integer,,32,0,YES,,,,
t_prc_component_prices,unit_price,10,numeric,,12,2,YES,,,,
t_prc_component_prices,note,11,character varying,500,,,YES,,,,
t_prc_component_prices,reg_dt,12,timestamp without time zone,,,,NO,now(),,,
t_prc_component_prices,upd_dt,13,timestamp without time zone,,,,YES,,,,
t_prc_formula_components,frm_cd,1,character varying,50,,,NO,,Y,t_prc_price_formulas,frm_cd
t_prc_formula_components,comp_cd,2,character varying,50,,,NO,,Y,t_prc_price_components,comp_cd
t_prc_formula_components,disp_seq,3,integer,,32,0,YES,,,,
t_prc_formula_components,addtn_yn,4,character,1,,,YES,,,,
t_prc_formula_components,reg_dt,5,timestamp without time zone,,,,NO,now(),,,
t_prc_formula_components,upd_dt,6,timestamp without time zone,,,,YES,,,,
t_prc_price_components,comp_cd,1,character varying,50,,,NO,,Y,,
t_prc_price_components,comp_nm,2,character varying,200,,,NO,,,,
t_prc_price_components,comp_typ_cd,3,character varying,50,,,YES,,,t_cod_base_codes,cod_cd
t_prc_price_components,note,4,character varying,500,,,YES,,,,
t_prc_price_components,use_yn,5,character,1,,,NO,,,,
t_prc_price_components,reg_dt,6,timestamp without time zone,,,,NO,now(),,,
t_prc_price_components,upd_dt,7,timestamp without time zone,,,,YES,,,,
t_prc_price_formulas,frm_cd,1,character varying,50,,,NO,,Y,,
t_prc_price_formulas,frm_nm,2,character varying,200,,,NO,,,,
t_prc_price_formulas,frm_typ_cd,3,character varying,50,,,NO,,,t_cod_base_codes,cod_cd
t_prc_price_formulas,note,4,character varying,500,,,YES,,,,
t_prc_price_formulas,use_yn,5,character,1,,,NO,,,,
t_prc_price_formulas,reg_dt,6,timestamp without time zone,,,,NO,now(),,,
t_prc_price_formulas,upd_dt,7,timestamp without time zone,,,,YES,,,,
t_prd_product_addons,prd_cd,1,character varying,50,,,NO,,Y,t_prd_products,prd_cd
t_prd_product_addons,disp_seq,3,integer,,32,0,YES,,,,
t_prd_product_addons,note,4,character varying,500,,,YES,,,,
t_prd_product_addons,reg_dt,5,timestamp without time zone,,,,NO,now(),,,
t_prd_product_addons,upd_dt,6,timestamp without time zone,,,,YES,,,,
t_prd_product_addons,tmpl_cd,7,character varying,50,,,NO,,Y,t_prd_templates,tmpl_cd
t_prd_product_bundle_qtys,prd_cd,1,character varying,50,,,NO,,Y,t_prd_products,prd_cd
t_prd_product_bundle_qtys,bdl_qty,2,integer,,32,0,NO,,Y,,
t_prd_product_bundle_qtys,bdl_unit_typ_cd,3,character varying,50,,,YES,,,t_cod_base_codes,cod_cd
t_prd_product_bundle_qtys,dflt_yn,4,character,1,,,NO,,,,
t_prd_product_bundle_qtys,disp_seq,5,integer,,32,0,YES,,,,
t_prd_product_bundle_qtys,reg_dt,6,timestamp without time zone,,,,NO,now(),,,
t_prd_product_bundle_qtys,upd_dt,7,timestamp without time zone,,,,YES,,,,
t_prd_product_bundle_qtys,del_yn,8,character,1,,,NO,'N'::bpchar,,,
t_prd_product_bundle_qtys,del_dt,9,timestamp without time zone,,,,YES,,,,
t_prd_product_categories,prd_cd,1,character varying,50,,,NO,,Y,t_prd_products,prd_cd
t_prd_product_categories,cat_cd,2,character varying,50,,,NO,,Y,t_cat_categories,cat_cd
t_prd_product_categories,main_cat_yn,3,character,1,,,NO,,,,
t_prd_product_categories,disp_seq,4,integer,,32,0,YES,,,,
t_prd_product_categories,note,5,character varying,500,,,YES,,,,
t_prd_product_categories,reg_dt,6,timestamp without time zone,,,,NO,now(),,,
t_prd_product_categories,upd_dt,7,timestamp without time zone,,,,YES,,,,
t_prd_product_constraints,prd_cd,1,character varying,50,,,NO,,Y,t_prd_products,prd_cd
t_prd_product_constraints,rule_cd,2,character varying,50,,,NO,,Y,,
t_prd_product_constraints,rule_nm,3,character varying,200,,,NO,,,,
t_prd_product_constraints,rule_typ_cd,4,character varying,50,,,YES,,,t_cod_base_codes,cod_cd
t_prd_product_constraints,logic,5,jsonb,,,,NO,,,,
t_prd_product_constraints,err_msg,6,character varying,500,,,YES,,,,
t_prd_product_constraints,disp_seq,7,integer,,32,0,YES,,,,
t_prd_product_constraints,use_yn,8,character,1,,,NO,'Y'::bpchar,,,
t_prd_product_constraints,del_yn,9,character,1,,,NO,'N'::bpchar,,,
t_prd_product_constraints,del_dt,10,timestamp without time zone,,,,YES,,,,
t_prd_product_constraints,reg_dt,11,timestamp without time zone,,,,NO,now(),,,
t_prd_product_constraints,upd_dt,12,timestamp without time zone,,,,YES,,,,
t_prd_product_discount_tables,prd_cd,1,character varying,50,,,NO,,Y,t_prd_products,prd_cd
t_prd_product_discount_tables,dsc_tbl_cd,2,character varying,50,,,NO,,Y,t_dsc_discount_tables,dsc_tbl_cd
t_prd_product_discount_tables,apply_bgn_ymd,3,character varying,10,,,NO,,Y,,
t_prd_product_discount_tables,note,4,character varying,500,,,YES,,,,
t_prd_product_discount_tables,reg_dt,5,timestamp without time zone,,,,NO,now(),,,
t_prd_product_discount_tables,upd_dt,6,timestamp without time zone,,,,YES,,,,
t_prd_product_materials,prd_cd,1,character varying,50,,,NO,,Y,t_prd_products,prd_cd
t_prd_product_materials,mat_cd,2,character varying,50,,,NO,,Y,t_mat_materials,mat_cd
t_prd_product_materials,usage_cd,3,character varying,50,,,NO,,Y,t_cod_base_codes,cod_cd
t_prd_product_materials,dep_proc_cd,4,character varying,50,,,YES,,,t_proc_processes,proc_cd
t_prd_product_materials,dflt_yn,5,character,1,,,NO,,,,
t_prd_product_materials,disp_seq,6,integer,,32,0,YES,,,,
t_prd_product_materials,reg_dt,7,timestamp without time zone,,,,NO,now(),,,
t_prd_product_materials,upd_dt,8,timestamp without time zone,,,,YES,,,,
t_prd_product_materials,del_yn,9,character,1,,,NO,'N'::bpchar,,,
t_prd_product_materials,del_dt,10,timestamp without time zone,,,,YES,,,,
t_prd_product_option_groups,prd_cd,1,character varying,50,,,NO,,Y,t_prd_products,prd_cd
t_prd_product_option_groups,opt_grp_cd,2,character varying,50,,,NO,,Y,,
t_prd_product_option_groups,opt_grp_nm,3,character varying,100,,,NO,,,,
t_prd_product_option_groups,sel_typ_cd,4,character varying,50,,,YES,,,t_cod_base_codes,cod_cd
t_prd_product_option_groups,min_sel_cnt,5,integer,,32,0,YES,,,,
t_prd_product_option_groups,max_sel_cnt,6,integer,,32,0,YES,,,,
t_prd_product_option_groups,mand_yn,7,character,1,,,YES,,,,
t_prd_product_option_groups,disp_seq,8,integer,,32,0,YES,,,,
t_prd_product_option_groups,use_yn,9,character,1,,,NO,'Y'::bpchar,,,
t_prd_product_option_groups,del_yn,10,character,1,,,NO,'N'::bpchar,,,
t_prd_product_option_groups,del_dt,11,timestamp without time zone,,,,YES,,,,
t_prd_product_option_groups,note,12,character varying,500,,,YES,,,,
t_prd_product_option_groups,reg_dt,13,timestamp without time zone,,,,NO,now(),,,
t_prd_product_option_groups,upd_dt,14,timestamp without time zone,,,,YES,,,,
t_prd_product_option_items,prd_cd,1,character varying,50,,,NO,,Y,t_prd_product_options,opt_cd
t_prd_product_option_items,opt_cd,2,character varying,50,,,NO,,Y,t_prd_product_options,opt_cd
t_prd_product_option_items,item_seq,3,integer,,32,0,NO,,Y,,
t_prd_product_option_items,ref_dim_cd,4,character varying,50,,,NO,,,t_cod_base_codes,cod_cd
t_prd_product_option_items,ref_key1,5,character varying,50,,,NO,,,,
t_prd_product_option_items,ref_key2,6,character varying,50,,,YES,,,,
t_prd_product_option_items,qty,7,integer,,32,0,YES,,,,
t_prd_product_option_items,use_yn,8,character,1,,,NO,'Y'::bpchar,,,
t_prd_product_option_items,del_yn,9,character,1,,,NO,'N'::bpchar,,,
t_prd_product_option_items,del_dt,10,timestamp without time zone,,,,YES,,,,
t_prd_product_option_items,reg_dt,11,timestamp without time zone,,,,NO,now(),,,
t_prd_product_option_items,upd_dt,12,timestamp without time zone,,,,YES,,,,
t_prd_product_options,prd_cd,1,character varying,50,,,NO,,Y,t_prd_product_option_groups,opt_grp_cd
t_prd_product_options,opt_cd,2,character varying,50,,,NO,,Y,,
t_prd_product_options,opt_grp_cd,3,character varying,50,,,NO,,,t_prd_product_option_groups,opt_grp_cd
t_prd_product_options,opt_nm,4,character varying,100,,,NO,,,,
t_prd_product_options,dflt_yn,5,character,1,,,YES,,,,
t_prd_product_options,disp_seq,6,integer,,32,0,YES,,,,
t_prd_product_options,use_yn,7,character,1,,,NO,'Y'::bpchar,,,
t_prd_product_options,del_yn,8,character,1,,,NO,'N'::bpchar,,,
t_prd_product_options,del_dt,9,timestamp without time zone,,,,YES,,,,
t_prd_product_options,note,10,character varying,500,,,YES,,,,
t_prd_product_options,reg_dt,11,timestamp without time zone,,,,NO,now(),,,
t_prd_product_options,upd_dt,12,timestamp without time zone,,,,YES,,,,
t_prd_product_page_rules,prd_cd,1,character varying,50,,,NO,,Y,t_prd_products,prd_cd
t_prd_product_page_rules,page_min,2,integer,,32,0,NO,,,,
t_prd_product_page_rules,page_max,3,integer,,32,0,NO,,,,
t_prd_product_page_rules,page_incr,4,integer,,32,0,NO,,,,
t_prd_product_page_rules,note,5,character varying,500,,,YES,,,,
t_prd_product_page_rules,reg_dt,6,timestamp without time zone,,,,NO,now(),,,
t_prd_product_page_rules,upd_dt,7,timestamp without time zone,,,,YES,,,,
t_prd_product_plate_sizes,prd_cd,1,character varying,50,,,NO,,Y,t_prd_products,prd_cd
t_prd_product_plate_sizes,siz_cd,2,character varying,50,,,NO,,Y,t_siz_sizes,siz_cd
t_prd_product_plate_sizes,dflt_plt_yn,3,character,1,,,NO,,,,
t_prd_product_plate_sizes,output_paper_typ_cd,4,character varying,50,,,YES,,,t_cod_base_codes,cod_cd
t_prd_product_plate_sizes,output_file_typ,5,character varying,30,,,YES,,,,
t_prd_product_plate_sizes,note,6,character varying,500,,,YES,,,,
t_prd_product_plate_sizes,reg_dt,7,timestamp without time zone,,,,NO,now(),,,
t_prd_product_plate_sizes,upd_dt,8,timestamp without time zone,,,,YES,,,,
t_prd_product_plate_sizes,del_yn,9,character,1,,,NO,'N'::bpchar,,,
t_prd_product_plate_sizes,del_dt,10,timestamp without time zone,,,,YES,,,,
t_prd_product_price_formulas,prd_cd,1,character varying,50,,,NO,,Y,t_prd_products,prd_cd
t_prd_product_price_formulas,frm_cd,2,character varying,50,,,NO,,Y,t_prc_price_formulas,frm_cd
t_prd_product_price_formulas,apply_bgn_ymd,3,character varying,10,,,YES,,,,
t_prd_product_price_formulas,note,4,character varying,500,,,YES,,,,
t_prd_product_price_formulas,reg_dt,5,timestamp without time zone,,,,NO,now(),,,
t_prd_product_price_formulas,upd_dt,6,timestamp without time zone,,,,YES,,,,
t_prd_product_prices,prd_cd,1,character varying,50,,,NO,,Y,t_prd_products,prd_cd
t_prd_product_prices,apply_ymd,2,character varying,10,,,NO,,Y,,
t_prd_product_prices,unit_price,3,numeric,,12,2,YES,,,,
t_prd_product_prices,note,4,character varying,500,,,YES,,,,
t_prd_product_prices,reg_dt,5,timestamp without time zone,,,,NO,now(),,,
t_prd_product_prices,upd_dt,6,timestamp without time zone,,,,YES,,,,
t_prd_product_print_options,prd_cd,1,character varying,50,,,NO,,Y,t_prd_products,prd_cd
t_prd_product_print_options,opt_id,2,integer,,32,0,NO,,Y,,
t_prd_product_print_options,print_side,3,character varying,20,,,NO,,,,
t_prd_product_print_options,front_colrcnt_cd,4,character varying,50,,,NO,,,t_clr_color_counts,clr_cd
t_prd_product_print_options,back_colrcnt_cd,5,character varying,50,,,NO,,,t_clr_color_counts,clr_cd
t_prd_product_print_options,dflt_yn,6,character,1,,,NO,,,,
t_prd_product_print_options,disp_seq,7,integer,,32,0,YES,,,,
t_prd_product_print_options,reg_dt,8,timestamp without time zone,,,,NO,now(),,,
t_prd_product_print_options,upd_dt,9,timestamp without time zone,,,,YES,,,,
t_prd_product_print_options,del_yn,10,character,1,,,NO,'N'::bpchar,,,
t_prd_product_print_options,del_dt,11,timestamp without time zone,,,,YES,,,,
t_prd_product_processes,prd_cd,1,character varying,50,,,NO,,Y,t_prd_products,prd_cd
t_prd_product_processes,proc_cd,2,character varying,50,,,NO,,Y,t_proc_processes,proc_cd
t_prd_product_processes,mand_proc_yn,4,character,1,,,NO,,,,
t_prd_product_processes,disp_seq,5,integer,,32,0,YES,,,,
t_prd_product_processes,reg_dt,6,timestamp without time zone,,,,NO,now(),,,
t_prd_product_processes,upd_dt,7,timestamp without time zone,,,,YES,,,,
t_prd_product_processes,del_yn,8,character,1,,,NO,'N'::bpchar,,,
t_prd_product_processes,del_dt,9,timestamp without time zone,,,,YES,,,,
t_prd_product_sets,prd_cd,1,character varying,50,,,NO,,Y,t_prd_products,prd_cd
t_prd_product_sets,sub_prd_cd,2,character varying,50,,,NO,,Y,t_prd_products,prd_cd
t_prd_product_sets,sub_prd_qty,3,integer,,32,0,NO,,,,
t_prd_product_sets,disp_seq,4,integer,,32,0,YES,,,,
t_prd_product_sets,note,5,character varying,500,,,YES,,,,
t_prd_product_sets,reg_dt,6,timestamp without time zone,,,,NO,now(),,,
t_prd_product_sets,upd_dt,7,timestamp without time zone,,,,YES,,,,
t_prd_product_sets,del_yn,8,character,1,,,NO,'N'::bpchar,,,
t_prd_product_sets,del_dt,9,timestamp without time zone,,,,YES,,,,
t_prd_product_sizes,prd_cd,1,character varying,50,,,NO,,Y,t_prd_products,prd_cd
t_prd_product_sizes,siz_cd,2,character varying,50,,,NO,,Y,t_siz_sizes,siz_cd
t_prd_product_sizes,dflt_yn,3,character,1,,,NO,,,,
t_prd_product_sizes,disp_seq,4,integer,,32,0,YES,,,,
t_prd_product_sizes,reg_dt,5,timestamp without time zone,,,,NO,now(),,,
t_prd_product_sizes,upd_dt,6,timestamp without time zone,,,,YES,,,,
t_prd_product_sizes,del_yn,7,character,1,,,NO,'N'::bpchar,,,
t_prd_product_sizes,del_dt,8,timestamp without time zone,,,,YES,,,,
t_prd_products,prd_cd,1,character varying,50,,,NO,,Y,,
t_prd_products,MES_ITEM_CD,2,character varying,30,,,YES,,,,
t_prd_products,prd_nm,3,character varying,200,,,NO,,,,
t_prd_products,prd_typ_cd,4,character varying,50,,,NO,,,t_cod_base_codes,cod_cd
t_prd_products,semi_role_cd,5,character varying,50,,,YES,,,t_cod_base_codes,cod_cd
t_prd_products,nonspec_yn,6,character,1,,,NO,,,,
t_prd_products,nonspec_width_min,7,numeric,,8,2,YES,,,,
t_prd_products,nonspec_width_max,8,numeric,,8,2,YES,,,,
t_prd_products,nonspec_height_min,9,numeric,,8,2,YES,,,,
t_prd_products,nonspec_height_max,10,numeric,,8,2,YES,,,,
t_prd_products,file_upload_yn,11,character,1,,,NO,,,,
t_prd_products,editor_yn,12,character,1,,,NO,,,,
t_prd_products,min_qty,13,integer,,32,0,YES,,,,
t_prd_products,max_qty,14,integer,,32,0,YES,,,,
t_prd_products,qty_incr,15,integer,,32,0,YES,,,,
t_prd_products,dflt_qty,16,integer,,32,0,YES,,,,
t_prd_products,constraint_json,17,jsonb,,,,YES,,,,
t_prd_products,use_yn,18,character,1,,,NO,,,,
t_prd_products,reg_dt,19,timestamp without time zone,,,,NO,now(),,,
t_prd_products,upd_dt,20,timestamp without time zone,,,,YES,,,,
t_prd_products,qty_unit_typ_cd,21,character varying,50,,,YES,,,t_cod_base_codes,cod_cd
t_prd_template_selections,tmpl_cd,1,character varying,50,,,NO,,Y,t_prd_templates,tmpl_cd
t_prd_template_selections,sel_seq,2,integer,,32,0,NO,,Y,,
t_prd_template_selections,ref_dim_cd,3,character varying,50,,,YES,,,t_cod_base_codes,cod_cd
t_prd_template_selections,ref_key1,4,character varying,50,,,YES,,,,
t_prd_template_selections,ref_key2,5,character varying,50,,,YES,,,,
t_prd_template_selections,opt_cd,6,character varying,50,,,YES,,,,
t_prd_template_selections,sel_val,7,character varying,100,,,YES,,,,
t_prd_template_selections,qty,8,integer,,32,0,YES,,,,
t_prd_template_selections,use_yn,9,character,1,,,NO,'Y'::bpchar,,,
t_prd_template_selections,del_yn,10,character,1,,,NO,'N'::bpchar,,,
t_prd_template_selections,del_dt,11,timestamp without time zone,,,,YES,,,,
t_prd_template_selections,reg_dt,12,timestamp without time zone,,,,NO,now(),,,
t_prd_template_selections,upd_dt,13,timestamp without time zone,,,,YES,,,,
t_prd_templates,tmpl_cd,1,character varying,50,,,NO,,Y,,
t_prd_templates,base_prd_cd,2,character varying,50,,,NO,,,t_prd_products,prd_cd
t_prd_templates,tmpl_nm,3,character varying,200,,,NO,,,,
t_prd_templates,dflt_qty,4,integer,,32,0,YES,,,,
t_prd_templates,use_yn,5,character,1,,,NO,'Y'::bpchar,,,
t_prd_templates,del_yn,6,character,1,,,NO,'N'::bpchar,,,
t_prd_templates,del_dt,7,timestamp without time zone,,,,YES,,,,
t_prd_templates,note,8,character varying,500,,,YES,,,,
t_prd_templates,reg_dt,9,timestamp without time zone,,,,NO,now(),,,
t_prd_templates,upd_dt,10,timestamp without time zone,,,,YES,,,,
t_proc_processes,proc_cd,1,character varying,50,,,NO,,Y,,
t_proc_processes,proc_nm,2,character varying,200,,,NO,,,,
t_proc_processes,upr_proc_cd,3,character varying,50,,,YES,,,t_proc_processes,proc_cd
t_proc_processes,prcs_dtl_opt,4,jsonb,,,,YES,,,,
t_proc_processes,disp_seq,5,integer,,32,0,YES,,,,
t_proc_processes,use_yn,6,character,1,,,NO,,,,
t_proc_processes,note,7,character varying,500,,,YES,,,,
t_proc_processes,reg_dt,8,timestamp without time zone,,,,NO,now(),,,
t_proc_processes,upd_dt,9,timestamp without time zone,,,,YES,,,,
t_proc_processes,del_yn,10,character,1,,,NO,'N'::bpchar,,,
t_proc_processes,del_dt,11,timestamp without time zone,,,,YES,,,,
t_siz_sizes,siz_cd,1,character varying,50,,,NO,,Y,,
t_siz_sizes,siz_nm,2,character varying,50,,,NO,,,,
t_siz_sizes,work_width,3,numeric,,8,2,YES,,,,
t_siz_sizes,work_height,4,numeric,,8,2,YES,,,,
t_siz_sizes,cut_width,5,numeric,,8,2,YES,,,,
t_siz_sizes,cut_height,6,numeric,,8,2,YES,,,,
t_siz_sizes,margin_top,7,numeric,,8,2,YES,,,,
t_siz_sizes,margin_bot,8,numeric,,8,2,YES,,,,
t_siz_sizes,margin_lft,9,numeric,,8,2,YES,,,,
t_siz_sizes,margin_rgt,10,numeric,,8,2,YES,,,,
t_siz_sizes,impos_yn,11,character,1,,,NO,,,,
t_siz_sizes,use_yn,12,character,1,,,NO,,,,
t_siz_sizes,note,13,character varying,500,,,YES,,,,
t_siz_sizes,reg_dt,14,timestamp without time zone,,,,NO,now(),,,
t_siz_sizes,upd_dt,15,timestamp without time zone,,,,YES,,,,
t_siz_sizes,del_yn,16,character,1,,,NO,'N'::bpchar,,,
t_siz_sizes,del_dt,17,timestamp without time zone,,,,YES,,,,
