sheet,row_seq,join_key,_row_hidden,사이즈옵션명,재단사이즈,블리드,작업사이즈,상품,판걸이,디지털인쇄(국4절),디지털인쇄(3절),col_I,인쇄가능영역,원형아이마크영역(완칼),격자아이마크영역(반칼),cell_meta_json
판걸이수,2,73 x 98 mm,false,73 x 98 mm,73x98,1,75x100,엽서,18,316x467,,,사방  5mm제외,,,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,3,98 x 98 mm,false,98 x 98 mm,98x98,1,100x100,엽서,12,316x467,,,사방  5mm제외,,,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,4,100 x 150 mm,false,100 x 150 mm,100x150,1,102x152,엽서 / 엽서북내지,8,316x467,,,사방  5mm제외,,,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,5,135 x 135 mm,false,135 x 135 mm,135x135,1,137x137,엽서 / 엽서북내지,6,316x467,,,사방  5mm제외,,,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,6,95 x 210 mm,false,95 x 210 mm,95x210,1,97x212,엽서,6,316x467,,,사방  5mm제외,,,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,7,110 x 170 mm,false,110 x 170 mm,110x170,1,112x172,엽서,4,316x467,,,사방  5mm제외,,,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,8,148 x 210 mm,false,148 x 210 mm,148x210,1,150x212,엽서,4,316x467,,,사방  5mm제외,,,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,9,90 x 50 mm,false,90 x 50 mm,90x50,1,92x52,명함,24,316x467,,,사방  5mm제외,,,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,10,90 x 55 mm,false,90 x 55 mm,90x55,1,92x57,명함,21,316x467,,,사방  5mm제외,,,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,11,86 x 52 mm,false,86 x 52 mm,86x55,1,88x57,명함,21,316x467,,,사방  5mm제외,,,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,12,90 x 50 mm,false,90 x 50 mm,90x50,5,100x60,모양명함,18,316x467,,,,"좌,우 6mm 제외
상 13mm 제외
하 16mm 제외",,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,13,50 x 50 mm,false,50 x 50 mm,50x50,5,60x60,"미니모양명함, 라벨택",35,316x467,,,,"좌,우 6mm 제외
상 13mm 제외
하 16mm 제외",,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,14,55 x 86 mm,false,55 x 86 mm,55x86,1,57x88,포토카드,21,316x467,,,사방  5mm제외,,,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,15,148 x 68 mm,false,148 x 68 mm,148x68,2,152x72,상품권,12,316x467,,,사방  5mm제외,,,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""작업사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,16,148 x 75 mm,false,148 x 75 mm,148x75,2,158x77,상품권,6,316x467,,,사방  5mm제외,,,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""작업사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,17,300 x 100 mm,false,300 x 100 mm,300x100,1,302x102,종이슬로건,4,316x467,,,사방  5mm제외,,,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""작업사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,18,400 x 145 mm,false,400 x 145 mm,400x145,1,402x147,종이슬로건,2,316x467,,,사방  5mm제외,,,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""작업사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,19,50x90 mm - 2단세로접지,false,50x90 mm - 2단세로접지,100x90,1,102x92,미니접지카드,12,316x467,,,사방  5mm제외,,,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,20,90x50 mm - 2단가로접지,false,90x50 mm - 2단가로접지,90x100,1,92x102,미니접지카드,12,316x467,,,사방  5mm제외,,,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,21,52x86 mm - 2단세로접지,false,52x86 mm - 2단세로접지,104x86,1,106x88,미니접지카드,12,316x467,,,사방  5mm제외,,,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,22,85x52 mm - 2단가로접지,false,85x52 mm - 2단가로접지,86x104,1,88x106,미니접지카드,12,316x467,,,사방  5mm제외,,,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,23,100x150 mm - 2단세로접지,false,100x150 mm - 2단세로접지,200x150,1,202x152,2단접지카드,4,316x467,,,사방  5mm제외,,,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,24,150x100 mm - 2단가로접지,false,150x100 mm - 2단가로접지,150x200,1,152x202,2단접지카드,4,316x467,,,사방  5mm제외,,,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
판걸이수,25,135x135mm - 2단세로접지,false,135x135mm - 2단세로접지,274x139,2,274 x 139,2단접지카드,3,316x467,,,사방  5mm제외,,,"{""사이즈옵션명"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""재단사이즈"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""상품"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""판걸이"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(국4절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""디지털인쇄(3절)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""col_I"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""인쇄가능영역"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""원형아이마크영역(완칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}, ""격자아이마크영역(반칼)"": {""font_rgb"": ""Values must be of type <class 'str'>""}}"
