comp_cd,mat_cd,siz_width,siz_height,authority_price,block
COMP_ACRYL_CLEAR3T,MAT_000043,20,60,3400,B01
COMP_ACRYL_CLEAR3T,MAT_000043,30,20,2700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,30,50,3700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,30,80,4700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,40,20,3000,B01
COMP_ACRYL_CLEAR3T,MAT_000043,40,30,3400,B01
COMP_ACRYL_CLEAR3T,MAT_000043,40,100,6400,B01
COMP_ACRYL_CLEAR3T,MAT_000043,50,20,3200,B01
COMP_ACRYL_CLEAR3T,MAT_000043,50,40,4200,B01
COMP_ACRYL_CLEAR3T,MAT_000043,50,80,6400,B01
COMP_ACRYL_CLEAR3T,MAT_000043,50,100,7400,B01
COMP_ACRYL_CLEAR3T,MAT_000043,50,120,8400,B01
COMP_ACRYL_CLEAR3T,MAT_000043,60,30,4000,B01
COMP_ACRYL_CLEAR3T,MAT_000043,60,50,5300,B01
COMP_ACRYL_CLEAR3T,MAT_000043,60,120,9900,B01
COMP_ACRYL_CLEAR3T,MAT_000043,70,20,3600,B01
COMP_ACRYL_CLEAR3T,MAT_000043,70,30,4300,B01
COMP_ACRYL_CLEAR3T,MAT_000043,70,40,5100,B01
COMP_ACRYL_CLEAR3T,MAT_000043,80,20,3800,B01
COMP_ACRYL_CLEAR3T,MAT_000043,80,40,5500,B01
COMP_ACRYL_CLEAR3T,MAT_000043,80,60,7200,B01
COMP_ACRYL_CLEAR3T,MAT_000043,80,70,8100,B01
COMP_ACRYL_CLEAR3T,MAT_000043,80,100,10600,B01
COMP_ACRYL_CLEAR3T,MAT_000043,80,140,13800,B01
COMP_ACRYL_CLEAR3T,MAT_000043,80,160,15400,B01
COMP_ACRYL_CLEAR3T,MAT_000043,90,20,4000,B01
COMP_ACRYL_CLEAR3T,MAT_000043,90,30,5000,B01
COMP_ACRYL_CLEAR3T,MAT_000043,90,40,5900,B01
COMP_ACRYL_CLEAR3T,MAT_000043,90,60,7800,B01
COMP_ACRYL_CLEAR3T,MAT_000043,90,70,8800,B01
COMP_ACRYL_CLEAR3T,MAT_000043,90,80,9800,B01
COMP_ACRYL_CLEAR3T,MAT_000043,90,120,13700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,100,20,4200,B01
COMP_ACRYL_CLEAR3T,MAT_000043,100,30,5300,B01
COMP_ACRYL_CLEAR3T,MAT_000043,120,20,4600,B01
COMP_ACRYL_CLEAR3T,MAT_000043,120,30,5900,B01
COMP_ACRYL_CLEAR3T,MAT_000043,120,40,7400,B01
COMP_ACRYL_CLEAR3T,MAT_000043,120,70,10900,B01
COMP_ACRYL_CLEAR3T,MAT_000043,120,80,12200,B01
COMP_ACRYL_CLEAR3T,MAT_000043,120,100,14700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,140,20,5000,B01
COMP_ACRYL_CLEAR3T,MAT_000043,140,30,6500,B01
COMP_ACRYL_CLEAR3T,MAT_000043,140,40,8400,B01
COMP_ACRYL_CLEAR3T,MAT_000043,140,50,9400,B01
COMP_ACRYL_CLEAR3T,MAT_000043,140,60,11300,B01
COMP_ACRYL_CLEAR3T,MAT_000043,140,70,12300,B01
COMP_ACRYL_CLEAR3T,MAT_000043,140,90,15700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,140,120,18700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,160,20,5400,B01
COMP_ACRYL_CLEAR3T,MAT_000043,160,30,7100,B01
COMP_ACRYL_CLEAR3T,MAT_000043,160,40,9400,B01
COMP_ACRYL_CLEAR3T,MAT_000043,160,50,10400,B01
COMP_ACRYL_CLEAR3T,MAT_000043,160,60,12700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,160,70,13700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,160,90,17700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,160,100,18700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,160,120,20700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,160,140,22700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,180,20,5800,B01
COMP_ACRYL_CLEAR3T,MAT_000043,180,30,7700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,180,40,10400,B01
COMP_ACRYL_CLEAR3T,MAT_000043,180,50,11400,B01
COMP_ACRYL_CLEAR3T,MAT_000043,180,60,14100,B01
COMP_ACRYL_CLEAR3T,MAT_000043,180,70,15100,B01
COMP_ACRYL_CLEAR3T,MAT_000043,180,80,17000,B01
COMP_ACRYL_CLEAR3T,MAT_000043,180,90,19700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,180,100,20700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,180,120,22700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,180,140,24700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,180,160,26700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,200,20,6200,B01
COMP_ACRYL_CLEAR3T,MAT_000043,200,30,8300,B01
COMP_ACRYL_CLEAR3T,MAT_000043,200,40,11400,B01
COMP_ACRYL_CLEAR3T,MAT_000043,200,50,12400,B01
COMP_ACRYL_CLEAR3T,MAT_000043,200,60,15500,B01
COMP_ACRYL_CLEAR3T,MAT_000043,200,70,16500,B01
COMP_ACRYL_CLEAR3T,MAT_000043,200,80,18600,B01
COMP_ACRYL_CLEAR3T,MAT_000043,200,90,21700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,200,100,22700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,200,120,24700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,200,140,26700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,200,160,28700,B01
COMP_ACRYL_CLEAR3T,MAT_000043,200,180,30700,B01
COMP_ACRYL_CLEAR3T,MAT_000042,20,60,2720,B02
COMP_ACRYL_CLEAR3T,MAT_000042,30,20,2160,B02
COMP_ACRYL_CLEAR3T,MAT_000042,30,50,2960,B02
COMP_ACRYL_CLEAR3T,MAT_000042,30,80,3760,B02
COMP_ACRYL_CLEAR3T,MAT_000042,40,20,2400,B02
COMP_ACRYL_CLEAR3T,MAT_000042,40,30,2720,B02
COMP_ACRYL_CLEAR3T,MAT_000042,40,100,5120,B02
COMP_ACRYL_CLEAR3T,MAT_000042,50,20,2560,B02
COMP_ACRYL_CLEAR3T,MAT_000042,50,40,3360,B02
COMP_ACRYL_CLEAR3T,MAT_000042,50,80,5120,B02
COMP_ACRYL_CLEAR3T,MAT_000042,50,100,5920,B02
COMP_ACRYL_CLEAR3T,MAT_000042,60,30,3200,B02
COMP_ACRYL_CLEAR3T,MAT_000042,60,50,4240,B02
COMP_ACRYL_CLEAR3T,MAT_000042,70,20,2880,B02
COMP_ACRYL_CLEAR3T,MAT_000042,70,30,3440,B02
COMP_ACRYL_CLEAR3T,MAT_000042,70,40,4080,B02
COMP_ACRYL_CLEAR3T,MAT_000042,80,20,3040,B02
COMP_ACRYL_CLEAR3T,MAT_000042,80,40,4400,B02
COMP_ACRYL_CLEAR3T,MAT_000042,80,60,5760,B02
COMP_ACRYL_CLEAR3T,MAT_000042,80,70,6480,B02
COMP_ACRYL_CLEAR3T,MAT_000042,80,100,8480,B02
COMP_ACRYL_CLEAR3T,MAT_000042,90,20,3200,B02
COMP_ACRYL_CLEAR3T,MAT_000042,90,30,4000,B02
COMP_ACRYL_CLEAR3T,MAT_000042,90,40,4720,B02
COMP_ACRYL_CLEAR3T,MAT_000042,90,60,6240,B02
COMP_ACRYL_CLEAR3T,MAT_000042,90,70,7040,B02
COMP_ACRYL_CLEAR3T,MAT_000042,90,80,7840,B02
COMP_ACRYL_CLEAR3T,MAT_000042,100,20,3360,B02
COMP_ACRYL_CLEAR3T,MAT_000042,100,30,4240,B02
COMP_ACRYL_MIRROR3T,,20,60,6800,B03
COMP_ACRYL_MIRROR3T,,30,20,5400,B03
COMP_ACRYL_MIRROR3T,,30,50,7400,B03
COMP_ACRYL_MIRROR3T,,30,80,9400,B03
COMP_ACRYL_MIRROR3T,,40,20,6000,B03
COMP_ACRYL_MIRROR3T,,40,30,6800,B03
COMP_ACRYL_MIRROR3T,,40,100,12800,B03
COMP_ACRYL_MIRROR3T,,50,20,6400,B03
COMP_ACRYL_MIRROR3T,,50,40,8400,B03
COMP_ACRYL_MIRROR3T,,50,80,12800,B03
COMP_ACRYL_MIRROR3T,,50,100,14800,B03
COMP_ACRYL_MIRROR3T,,60,30,8000,B03
COMP_ACRYL_MIRROR3T,,60,50,10600,B03
COMP_ACRYL_MIRROR3T,,70,20,7200,B03
COMP_ACRYL_MIRROR3T,,70,30,8600,B03
COMP_ACRYL_MIRROR3T,,70,40,10200,B03
COMP_ACRYL_MIRROR3T,,80,20,7600,B03
COMP_ACRYL_MIRROR3T,,80,40,11000,B03
COMP_ACRYL_MIRROR3T,,80,60,14400,B03
COMP_ACRYL_MIRROR3T,,80,70,16200,B03
COMP_ACRYL_MIRROR3T,,80,100,21200,B03
COMP_ACRYL_MIRROR3T,,90,20,8000,B03
COMP_ACRYL_MIRROR3T,,90,30,10000,B03
COMP_ACRYL_MIRROR3T,,90,40,11800,B03
COMP_ACRYL_MIRROR3T,,90,60,15600,B03
COMP_ACRYL_MIRROR3T,,90,70,17600,B03
COMP_ACRYL_MIRROR3T,,90,80,19600,B03
COMP_ACRYL_MIRROR3T,,100,20,8400,B03
COMP_ACRYL_MIRROR3T,,100,30,10600,B03
COMP_ACRYL_COROTTO,,30,50,4400,B05
COMP_ACRYL_COROTTO,,30,80,6400,B05
COMP_ACRYL_COROTTO,,40,30,4400,B05
COMP_ACRYL_COROTTO,,40,60,5200,B05
COMP_ACRYL_COROTTO,,50,40,5200,B05
COMP_ACRYL_COROTTO,,50,70,6400,B05
COMP_ACRYL_COROTTO,,50,80,8000,B05
COMP_ACRYL_COROTTO,,60,30,5200,B05
COMP_ACRYL_COROTTO,,60,50,6400,B05
COMP_ACRYL_COROTTO,,70,30,5200,B05
COMP_ACRYL_COROTTO,,70,40,6400,B05
COMP_ACRYL_COROTTO,,70,60,8000,B05
COMP_ACRYL_COROTTO,,80,40,6400,B05
COMP_ACRYL_COROTTO,,80,60,8000,B05
COMP_ACRYL_COROTTO,,80,70,8400,B05
